Row ID;Row Name;equipId;value;mtrlId;eventFlag_forStock;eventFlag_forRelease;sellQuantity;equipType;costType;setNum;value_Add;value_Magnification;iconId;nameMsgId;menuTitleMsgId;menuIconId
30126;Cursed-Blood Pot - Nomadic Warrior's Cookbook [12];630;0;301260;0;67060;-1;3;0;1;0;1;-1;-1;-1;-1;
30127;Sleep Pot - Fevor's Cookbook [1];640;0;301270;0;68200;-1;3;0;1;0;1;-1;-1;-1;-1;
30128;Rancor Pot - Nomadic Warrior's Cookbook [9];650;0;301280;0;67430;-1;3;0;1;0;1;-1;-1;-1;-1;
30129;Magic Pot - Glintstone Craftsman's Cookbook [4];660;0;301290;0;67400;-1;3;0;1;0;1;-1;-1;-1;-1;
30130;Academy Magic Pot - Glintstone Craftsman's Cookbook [8];661;0;301300;0;67440;-1;3;0;1;0;1;-1;-1;-1;-1;
30131;Rot Pot - Nomadic Warrior's Cookbook [22];670;0;301310;0;67890;-1;3;0;1;0;1;-1;-1;-1;-1;
30200;Rowa Raisin - Default;810;0;302000;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30201;Sweet Raisin - Nomadic Warrior's Cookbook [19];811;0;302010;0;67070;-1;3;0;1;0;1;-1;-1;-1;-1;
30202;Frozen Raisin - Nomadic Warrior's Cookbook [23];812;0;302020;0;67090;-1;3;0;1;0;1;-1;-1;-1;-1;
30300;Neutralizing Boluses - Armorer's Cookbook [2];900;0;303000;0;67210;-1;3;0;1;0;1;-1;-1;-1;-1;
30301;Stanching Boluses - Nomadic Cookbook [7];910;0;303010;0;67050;-1;3;0;1;0;1;-1;-1;-1;-1;
30302;Thawfrost Boluses - Nomadic Warrior's Cookbook [16];920;0;303020;0;67290;-1;3;0;1;0;1;-1;-1;-1;-1;
30303;Stimulating Boluses - Nomadic Warrior's Cookbook [16];930;0;303030;0;67290;-1;3;0;1;0;1;-1;-1;-1;-1;
30304;Preserving Boluses - Armorer's Cookbook [6];940;0;303040;0;67300;-1;3;0;1;0;1;-1;-1;-1;-1;
30305;Rejuvenating Boluses - Missionary's Cookbook [7];950;0;303050;0;68230;-1;3;0;1;0;1;-1;-1;-1;-1;
30306;Clarifying Boluses - Frenzied's Cookbook [1];960;0;303060;0;68400;-1;3;0;1;0;1;-1;-1;-1;-1;
30400;Pickled Turtle Neck - Nomadic Warrior's Cookbook [3];1100;0;304000;0;67010;-1;3;0;1;0;1;-1;-1;-1;-1;
30401;Immunizing Cured Meat - Armorer's Cookbook [5];1110;0;304010;0;67310;-1;3;0;1;0;1;-1;-1;-1;-1;
30402;Invigorating Cured Meat - Nomadic Warrior's Cookbook [2];1120;0;304020;0;67110;-1;3;0;1;0;1;-1;-1;-1;-1;
30403;Clarifying Cured Meat - Nomadic Warrior's Cookbook [23];1130;0;304030;0;67090;-1;3;0;1;0;1;-1;-1;-1;-1;
30404;Dappled Cured Meat - Nomadic Warrior's Cookbook [18];1140;0;304040;0;67270;-1;3;0;1;0;1;-1;-1;-1;-1;
30405;Spellproof Dried Liver - Nomadic Warrior's Cookbook [11];1150;0;304050;0;67220;-1;3;0;1;0;1;-1;-1;-1;-1;
30406;Fireproof Dried Liver - Armorer's Cookbook [1];1160;0;304060;0;67200;-1;3;0;1;0;1;-1;-1;-1;-1;
30407;Lightningproof Dried Liver - Ancient Dragon Apostle's Cookbook [4];1170;0;304070;0;68020;-1;3;0;1;0;1;-1;-1;-1;-1;
30408;Holyproof Dried Liver - Missionary's Cookbook [6];1180;0;304080;0;67130;-1;3;0;1;0;1;-1;-1;-1;-1;
30409;Silver-Pickled Fowl Foot - Missionary's Cookbook [3];1190;0;304090;0;67650;-1;3;0;1;0;1;-1;-1;-1;-1;
30410;Gold-Pickled Fowl Foot - Missionary's Cookbook [2];1200;0;304100;0;67600;-1;3;0;1;0;1;-1;-1;-1;-1;
30411;Exalted Flesh - Armorer's Cookbook [3];1210;0;304110;0;67280;-1;3;0;1;0;1;-1;-1;-1;-1;
30413;Immunizing White Cured Meat - Armorer's Cookbook [5];1310;0;304130;0;67310;-1;3;0;1;0;1;-1;-1;-1;-1;
30414;Invigorating White Cured Meat - Nomadic Warrior's Cookbook [2];1320;0;304140;0;67110;-1;3;0;1;0;1;-1;-1;-1;-1;
30415;Clarifying White Cured Meat - Nomadic Warrior's Cookbook [23];1330;0;304150;0;67090;-1;3;0;1;0;1;-1;-1;-1;-1;
30416;Dappled White Cured Meat - Nomadic Warrior's Cookbook [18];1340;0;304160;0;67270;-1;3;0;1;0;1;-1;-1;-1;-1;
30500;Fire Grease - Armorer's Cookbook [1];1400;0;305000;0;67200;-1;3;0;1;0;1;-1;-1;-1;-1;
30501;Lightning Grease - Ancient Dragon Apostle's Cookbook [1];1410;0;305010;0;68000;-1;3;0;1;0;1;-1;-1;-1;-1;
30502;Magic Grease - Glintstone Craftsman's Cookbook [5];1420;0;305020;0;67420;-1;3;0;1;0;1;-1;-1;-1;-1;
30503;Holy Grease - Missionary's Cookbook [4];1430;0;305030;0;67640;-1;3;0;1;0;1;-1;-1;-1;-1;
30504;Blood Grease - Nomadic Warrior's Cookbook [6];1440;0;305040;0;67020;-1;3;0;1;0;1;-1;-1;-1;-1;
30505;Soporific Grease - Fevor's Cookbook [2];1450;0;305050;0;68220;-1;3;0;1;0;1;-1;-1;-1;-1;
30506;Poison Grease - Nomadic Warrior's Cookbook [8];1460;0;305060;0;67880;-1;3;0;1;0;1;-1;-1;-1;-1;
30507;Freezing Grease - Glintstone Craftsman's Cookbook [2];1470;0;305070;0;67450;-1;3;0;1;0;1;-1;-1;-1;-1;
30508;Dragonwound Grease - Ancient Dragon Apostle's Cookbook [3];1480;0;305080;0;68030;-1;3;0;1;0;1;-1;-1;-1;-1;
30509;Rot Grease - Nomadic Warrior's Cookbook [22];1490;0;305090;0;67890;-1;3;0;1;0;1;-1;-1;-1;-1;
30510;Drawstring Fire Grease - Armorer's Cookbook [1];1500;0;305100;0;67200;-1;3;0;1;0;1;-1;-1;-1;-1;
30511;Drawstring Lightning Grease - Ancient Dragon Apostle's Cookbook [1];1510;0;305110;0;68000;-1;3;0;1;0;1;-1;-1;-1;-1;
30512;Drawstring Magic Grease - Glintstone Craftsman's Cookbook [5];1520;0;305120;0;67420;-1;3;0;1;0;1;-1;-1;-1;-1;
30513;Drawstring Holy Grease - Missionary's Cookbook [4];1530;0;305130;0;67640;-1;3;0;1;0;1;-1;-1;-1;-1;
30514;Drawstring Blood Grease - Nomadic Warrior's Cookbook [6];1540;0;305140;0;67020;-1;3;0;1;0;1;-1;-1;-1;-1;
30515;Drawstring Soporific Grease - Fevor's Cookbook [2];1550;0;305150;0;68220;-1;3;0;1;0;1;-1;-1;-1;-1;
30516;Drawstring Poison Grease - Nomadeic Warrior's Cookbook [8];1560;0;305160;0;67880;-1;3;0;1;0;1;-1;-1;-1;-1;
30518;Drawstring Rot Grease - Nomadic Warrior's Cookbook [22];1590;0;305180;0;67890;-1;3;0;1;0;1;-1;-1;-1;-1;
30519;Shield Grease - Glintstone Craftsman's Cookbook [4];1690;0;305190;0;67400;-1;3;0;1;0;1;-1;-1;-1;-1;
30600;Bone Dart - Default;1710;0;306000;0;0;-1;3;0;5;0;1;-1;-1;-1;-1;
30601;Poisonbone Dart - Nomadic Warrior's Cookbook [14];1720;0;306010;0;67870;-1;3;0;5;0;1;-1;-1;-1;-1;
30602;Crystal Dart - Nomadic Warrior's Cookbook [11];1740;0;306020;0;67220;-1;3;0;5;0;1;-1;-1;-1;-1;
30700;Rainbow Stone - Default;2020;0;307000;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
30701;Glowstone - Nomadic Warrior's Cookbook [2];2030;0;307010;0;67110;-1;3;0;1;0;1;-1;-1;-1;-1;
30702;Grace Mimic - Missionary's Cookbook [2];2050;0;307020;0;67600;-1;3;0;1;0;1;-1;-1;-1;-1;
30703;Soft Cotton - Nomadic Warrior's Cookbook [7];2100;0;307030;0;67050;-1;3;0;1;0;1;-1;-1;-1;-1;
30704;Soap - Nomadic Warrior's Cookbook [17];2120;0;307040;0;67100;-1;3;0;1;0;1;-1;-1;-1;-1;
30800;Cuckoo Glintstone - Glintstone Craftsman's Cookbook [1];3030;0;308000;0;67410;-1;3;0;1;0;1;-1;-1;-1;-1;
30801;Warming Stone - Nomadic Warrior's Cookbook [19];3310;0;308010;0;67070;-1;3;0;1;0;1;-1;-1;-1;-1;
30802;Frenzyflame Stone - Frenzied’s Cookbook [2];3311;0;308020;0;68410;-1;3;0;1;0;1;-1;-1;-1;-1;
30803;Scriptstone - Missionary's Cookbook [2];3320;0;308030;0;67600;-1;3;0;1;0;1;-1;-1;-1;-1;
30804;Bewitching Branch - Fevor's Cookbook [3];3350;0;308040;0;68210;-1;3;0;1;0;1;-1;-1;-1;-1;
30900;Uplifting Aromatic - Perfumer's Cookbook [1];3500;0;309000;0;67840;-1;3;0;1;0;1;-1;-1;-1;-1;
30901;Spark Aromatic - Perfumer's Cookbook [1];3510;0;309010;0;67840;-1;3;0;1;0;1;-1;-1;-1;-1;
30902;Ironjar Aromatic - Perfumer's Cookbook [3];3520;0;309020;0;67860;-1;3;0;1;0;1;-1;-1;-1;-1;
30903;Bloodboil Aromatic - Perfumer's Cookbook [2];3550;0;309030;0;67850;-1;3;0;1;0;1;-1;-1;-1;-1;
30904;Poison Spraymist - Perfumer's Cookbook [2];3580;0;309040;0;67850;-1;3;0;1;0;1;-1;-1;-1;-1;
30905;Acid Spraymist - Perfumer's Cookbook [4];3610;0;309050;0;67920;-1;3;0;1;0;1;-1;-1;-1;-1;
32000;Bone Arrow (Fletched) - Nomadic Warrior's Cookbook [1];50030000;0;320000;0;67000;-1;0;0;10;0;1;-1;-1;-1;-1;
32001;Bone Arrow - Nomadic Warrior's Cookbook [1];50110000;0;320010;0;67000;-1;0;0;10;0;1;-1;-1;-1;-1;
32002;Firebone Arrow (Fletched) - Armorer's Cookbook [2];50130000;0;320020;0;67210;-1;0;0;10;0;1;-1;-1;-1;-1;
32003;Firebone Arrow - Armorer's Cookbook [2];50140000;0;320030;0;67210;-1;0;0;10;0;1;-1;-1;-1;-1;
32004;Poisonbone Arrow (Fletched) - Nomadic Warrior's Cookbook [3];50150000;0;320040;0;67010;-1;0;0;10;0;1;-1;-1;-1;-1;
32005;Poisonbone Arrow - Nomadic Warrior's Cookbook [3];50160000;0;320050;0;67010;-1;0;0;10;0;1;-1;-1;-1;-1;
32006;Sleepbone Arrow (Fletched) - Fevor's Cookbook [2];50170000;0;320060;0;68220;-1;0;0;10;0;1;-1;-1;-1;-1;
32007;Sleepbone Arrow - Fevor's Cookbook [2];50180000;0;320070;0;68220;-1;0;0;10;0;1;-1;-1;-1;-1;
32008;Stormwing Bone Arrow - Nomadic Warrior's Cookbook [10];50190000;0;320080;0;67030;-1;0;0;10;0;1;-1;-1;-1;-1;
32009;Lightningbone Arrow (Fletched) - Ancient Dragon Apostle's Cookbook [1];50200000;0;320090;0;68000;-1;0;0;10;0;1;-1;-1;-1;-1;
32010;Lightningbone Arrow - Ancient Dragon Apostle's Cookbook [1];50210000;0;320100;0;68000;-1;0;0;10;0;1;-1;-1;-1;-1;
32011;Rainbow Stone Arrow - Nomadic Warrior's Cookbook [7];50220000;0;320110;0;67050;-1;0;0;10;0;1;-1;-1;-1;-1;
32012;Shattershard Arrow - Nomadic Warrior's Cookbook [11];50230000;0;320120;0;67220;-1;0;0;10;0;1;-1;-1;-1;-1;
32013;Magicbone Arrow (Fletched) - Glintstone Craftsman's Cookbook [5];50260000;0;320130;0;67420;-1;0;0;10;0;1;-1;-1;-1;-1;
32014;Magicbone Arrow - Glintstone Craftsman's Cookbook [5];50270000;0;320140;0;67420;-1;0;0;10;0;1;-1;-1;-1;-1;
32015;Haligbone Arrow (Fletched) - Missionary's Cookbook [4];50280000;0;320150;0;67640;-1;0;0;10;0;1;-1;-1;-1;-1;
32016;Haligbone Arrow - Missionary's Cookbook [4];50290000;0;320160;0;67640;-1;0;0;10;0;1;-1;-1;-1;-1;
32017;Bloodbone Arrow (Fletched) - Nomadic Warrior's Cookbook [6];50300000;0;320170;0;67020;-1;0;0;10;0;1;-1;-1;-1;-1;
32018;Bloodbone Arrow - Nomadic Warrior's Cookbook [6];50310000;0;320180;0;67020;-1;0;0;10;0;1;-1;-1;-1;-1;
32019;Coldbone Arrow (Fletched) - Glintstone Craftsman's Cookbook [7];50320000;0;320190;0;67470;-1;0;0;10;0;1;-1;-1;-1;-1;
32020;Coldbone Arrow - Glintstone Craftsman's Cookbook [7];50330000;0;320200;0;67470;-1;0;0;10;0;1;-1;-1;-1;-1;
32021;Rotbone Arrow (Fletched) - Nomadic Warrior's Cookbook [15];50340000;0;320210;0;67900;-1;0;0;10;0;1;-1;-1;-1;-1;
32022;Rotbone Arrow - Nomadic Warrior's Cookbook [15];50350000;0;320220;0;67900;-1;0;0;10;0;1;-1;-1;-1;-1;
32100;Bone Great Arrow (Fletched) - Nomadic Warrior's Cookbook [1];51050000;0;321000;0;67080;-1;0;0;5;0;1;-1;-1;-1;-1;
32101;Bone Great Arrow - Nomadic Warrior's Cookbook [1];51060000;0;321010;0;67080;-1;0;0;5;0;1;-1;-1;-1;-1;
32200;Bone Bolt - Nomadic Warrior's Cookbook [1];52090000;0;322000;0;67000;-1;0;0;10;0;1;-1;-1;-1;-1;
32201;Firebone Bolt - Armorer's Cookbook [2];52100000;0;322010;0;67210;-1;0;0;10;0;1;-1;-1;-1;-1;
32202;Lightningbone Bolt - Ancient Dragon Apostle's Cookbook [1];52110000;0;322020;0;68000;-1;0;0;10;0;1;-1;-1;-1;-1;
32203;Magicbone Bolt - Glintstone Craftsman's Cookbook [5];52120000;0;322030;0;67420;-1;0;0;10;0;1;-1;-1;-1;-1;
32204;Haligbone Bolt - Missionary's Cookbook [4];52130000;0;322040;0;67640;-1;0;0;10;0;1;-1;-1;-1;-1;
32205;Poisonbone Bolt - Nomadic Warrior's Cookbook [3];52140000;0;322050;0;67010;-1;0;0;10;0;1;-1;-1;-1;-1;
32206;Bloodbone Bolt - Nomadic Warrior's Cookbook [6];52150000;0;322060;0;67020;-1;0;0;10;0;1;-1;-1;-1;-1;
32207;Coldbone Bolt - Glintstone Craftsman's Cookbook [7];52160000;0;322070;0;67470;-1;0;0;10;0;1;-1;-1;-1;-1;
32208;Rotbone Bolt - Nomadic Warrior's Cookbook [15];52170000;0;322080;0;67900;-1;0;0;10;0;1;-1;-1;-1;-1;
32209;Sleepbone Bolt -  Fevor's Cookbook [2];52180000;0;322090;0;68220;-1;0;0;10;0;1;-1;-1;-1;-1;
32300;Bone Ballista Bolt - Nomadic Warrior's Cookbook [13];53030000;0;323000;0;67080;-1;0;0;5;0;1;-1;-1;-1;-1;
32500;Raw Steak;1900;0;325000;0;18001320;-1;3;0;1;0;1;-1;-1;-1;-1;
32501;Seared Steak;1901;0;325010;0;18001320;-1;3;0;1;0;1;-1;-1;-1;-1;
32502;Raw Liver Steak;1902;0;325020;0;18001340;-1;3;0;1;0;1;-1;-1;-1;-1;
32503;Seared Liver Steak;1903;0;325030;0;18001340;-1;3;0;1;0;1;-1;-1;-1;-1;
32504;Bone Broth;1904;0;325040;0;18001320;-1;3;0;1;0;1;-1;-1;-1;-1;
32505;Great Bone Broth;1905;0;325050;0;18001330;-1;3;0;1;0;1;-1;-1;-1;-1;
32506;Blood Broth;1906;0;325060;0;18001340;-1;3;0;1;0;1;-1;-1;-1;-1;
32507;Forest Berry Medley;1907;0;325070;0;18001320;-1;3;0;1;0;1;-1;-1;-1;-1;
32508;Plateau Berry Medley;1908;0;325080;0;18001330;-1;3;0;1;0;1;-1;-1;-1;-1;
32509;Mountain Berry Medley;1909;0;325090;0;18001340;-1;3;0;1;0;1;-1;-1;-1;-1;
32510;Mushroom Stew;1910;0;325100;0;18001320;-1;3;0;1;0;1;-1;-1;-1;-1;
32511;Melted Mushroom Stew;1911;0;325110;0;18001330;-1;3;0;1;0;1;-1;-1;-1;-1;
32512;Draught of Satiation;1912;0;325120;0;18001350;-1;3;0;1;0;1;-1;-1;-1;-1;
32513;Draught of Silver Tears;1913;0;325130;0;18001350;-1;3;0;1;0;1;-1;-1;-1;-1;
32514;Mossdew Soup;1914;0;325140;0;18001320;-1;3;0;1;0;1;-1;-1;-1;-1;
32515;Crystal Shard Soup;1915;0;325150;0;18001330;-1;3;0;1;0;1;-1;-1;-1;-1;
32516;Giant's Soup;1916;0;325160;0;18001340;-1;3;0;1;0;1;-1;-1;-1;-1;
32517;Amber-Eye Brew;1917;0;325170;0;18001320;-1;3;0;1;0;1;-1;-1;-1;-1;
32518;Magmatic Brew;1918;0;325180;0;18001330;-1;3;0;1;0;1;-1;-1;-1;-1;
32519;Blossom Brew;1919;0;325190;0;18001340;-1;3;0;1;0;1;-1;-1;-1;-1;
32520;Jar Brittle;1920;0;325200;0;18001330;-1;3;0;1;0;1;-1;-1;-1;-1;
32521;Cure for Plague of Limgrave;1930;0;325210;0;18001000;-1;3;0;1;0;1;-1;-1;-1;-1;
32522;Cure for Lake Toxin;1931;0;325220;0;18001010;-1;3;0;1;0;1;-1;-1;-1;-1;
32523;Cure for Scarlet Parasite;1932;0;325230;0;18001020;-1;3;0;1;0;1;-1;-1;-1;-1;
32524;Cure for Windmill Fever;1933;0;325240;0;18001030;-1;3;0;1;0;1;-1;-1;-1;-1;
32525;Cure for Plague of Gelmir;1934;0;325250;0;18001040;-1;3;0;1;0;1;-1;-1;-1;-1;
32526;Cure for Frigid Parasite;1935;0;325260;0;18001050;-1;3;0;1;0;1;-1;-1;-1;-1;
32527;Cure for Plague of Nokron;1936;0;325270;0;18001060;-1;3;0;1;0;1;-1;-1;-1;-1;
32528;Cure for Ant Toxin;1937;0;325280;0;18001070;-1;3;0;1;0;1;-1;-1;-1;-1;
32529;Cure for Star-Shaped Parasite;1938;0;325290;0;18001080;-1;3;0;1;0;1;-1;-1;-1;-1;
32530;Cure for Grafted Plague;1939;0;325300;0;18001090;-1;3;0;1;0;1;-1;-1;-1;-1;
32531;Cure for Full Moon Fever;1940;0;325310;0;18001100;-1;3;0;1;0;1;-1;-1;-1;-1;
32532;Cure for Starscourge Fever;1941;0;325320;0;18001110;-1;3;0;1;0;1;-1;-1;-1;-1;
32533;Cure for Serpent Toxin;1942;0;325330;0;18001120;-1;3;0;1;0;1;-1;-1;-1;-1;
32534;Cure for Plague of Leyndell;1943;0;325340;0;18001130;-1;3;0;1;0;1;-1;-1;-1;-1;
32535;Cure for Omen Parasite;1944;0;325350;0;18001140;-1;3;0;1;0;1;-1;-1;-1;-1;
32536;Cure for Unalloyed Plague;1945;0;325360;0;18001150;-1;3;0;1;0;1;-1;-1;-1;-1;
32537;Cure for Beastman's Fever;1946;0;325370;0;18001160;-1;3;0;1;0;1;-1;-1;-1;-1;
32538;Cure for Blood Lord's Fever;1947;0;325380;0;18001170;-1;3;0;1;0;1;-1;-1;-1;-1;
32539;Cure for Catacombs Toxin;1948;0;325390;0;18001180;-1;3;0;1;0;1;-1;-1;-1;-1;
32540;Cure for Cave Parasite;1949;0;325400;0;18001190;-1;3;0;1;0;1;-1;-1;-1;-1;
32541;Cure for Miner's Fever;1950;0;325410;0;18001200;-1;3;0;1;0;1;-1;-1;-1;-1;
32600;Novice Smith's Hammer;8400;100;326000;0;19001460;-1;3;0;1;0;1;-1;-1;-1;-1;
32601;Apprentice Smith's Hammer;8401;100;326010;0;19001461;-1;3;0;1;0;1;-1;-1;-1;-1;
32602;Journeyman Smith's Hammer;8402;100;326020;0;19001462;-1;3;0;1;0;1;-1;-1;-1;-1;
32603;Expert Smith's Hammer;8403;100;326030;0;19001463;-1;3;0;1;0;1;-1;-1;-1;-1;
32604;Master Smith's Hammer;8404;100;326040;0;19001464;-1;3;0;1;0;1;-1;-1;-1;-1;
32700;Stone Fragment x1;21002;0;327000;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
32701;Stone Fragment x1;21002;0;327001;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
32702;Stone Fragment x2;21002;0;327002;0;0;-1;3;0;2;0;1;-1;-1;-1;-1;
32703;Stone Fragment x2;21002;0;327003;0;0;-1;3;0;2;0;1;-1;-1;-1;-1;
32704;Stone Fragment x3;21002;0;327004;0;0;-1;3;0;3;0;1;-1;-1;-1;-1;
32705;Stone Fragment x3;21002;0;327005;0;0;-1;3;0;3;0;1;-1;-1;-1;-1;
32706;Stone Fragment x4;21002;0;327006;0;0;-1;3;0;4;0;1;-1;-1;-1;-1;
32707;Stone Fragment x4;21002;0;327007;0;0;-1;3;0;4;0;1;-1;-1;-1;-1;
32710;Somber Stone Fragment x1;21003;0;327010;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
32711;Somber Stone Fragment x1;21003;0;327011;0;0;-1;3;0;1;0;1;-1;-1;-1;-1;
32712;Somber Stone Fragment x2;21003;0;327012;0;0;-1;3;0;2;0;1;-1;-1;-1;-1;
32713;Somber Stone Fragment x2;21003;0;327013;0;0;-1;3;0;2;0;1;-1;-1;-1;-1;
32714;Somber Stone Fragment x3;21003;0;327014;0;0;-1;3;0;3;0;1;-1;-1;-1;-1;
32715;Somber Stone Fragment x3;21003;0;327015;0;0;-1;3;0;3;0;1;-1;-1;-1;-1;
32716;Somber Stone Fragment x4;21003;0;327016;0;0;-1;3;0;4;0;1;-1;-1;-1;-1;
32717;Somber Stone Fragment x4;21003;0;327017;0;0;-1;3;0;4;0;1;-1;-1;-1;-1;
32730;Metal Shards x5;21004;0;327030;0;0;-1;3;0;5;0;1;-1;-1;-1;-1;
32731;Soft Wood x5;21000;0;327031;0;0;-1;3;0;5;0;1;-1;-1;-1;-1;
33100;Dagger;60010000;50;331000;0;0;-1;0;0;1;0;1;-1;-1;-1;-1;
33101;Black Knife;60010100;20000;331010;0;11051015;-1;0;0;1;0;1;-1;-1;-1;-1;
33102;Parrying Dagger;60010200;9000;331020;0;11051013;-1;0;0;1;0;1;-1;-1;-1;-1;
33103;Misericorde;60010300;9000;331030;0;11051013;-1;0;0;1;0;1;-1;-1;-1;-1;
33104;Reduvia;60010400;20000;331040;0;11051015;-1;0;0;1;0;1;-1;-1;-1;-1;
33105;Crystal Knife;60010500;15000;331050;0;11051010;-1;0;0;1;0;1;-1;-1;-1;-1;
33106;Celebrant's Sickle;60010600;12000;331060;0;11051003;-1;0;0;1;0;1;-1;-1;-1;-1;
33107;Glintstone Kris;60010700;20000;331070;0;11051005;-1;0;0;1;0;1;-1;-1;-1;-1;
33108;Scorpion's Stinger;60010800;20000;331080;0;11051012;-1;0;0;1;0;1;-1;-1;-1;-1;
33109;Great Knife;60010900;3000;331090;0;11051000;-1;0;0;1;0;1;-1;-1;-1;-1;
33110;Wakizashi;60011000;12000;331100;0;11051002;-1;0;0;1;0;1;-1;-1;-1;-1;
33111;Cinquedea;60011100;20000;331110;0;11051010;-1;0;0;1;0;1;-1;-1;-1;-1;
33113;Ivory Sickle;60011300;15000;331130;0;11051006;-1;0;0;1;0;1;-1;-1;-1;-1;
33114;Bloodstained Dagger;60011400;6000;331140;0;11051009;-1;0;0;1;0;1;-1;-1;-1;-1;
33115;Erdsteel Dagger;60011500;15000;331150;0;11051010;-1;0;0;1;0;1;-1;-1;-1;-1;
33116;Blade of Calling;60011600;18000;331160;0;11051014;-1;0;0;1;0;1;-1;-1;-1;-1;
33200;Longsword;60020000;6000;332000;0;11051020;-1;0;0;1;0;1;-1;-1;-1;-1;
33201;Short Sword;60020100;2000;332010;0;11051000;-1;0;0;1;0;1;-1;-1;-1;-1;
33202;Broadsword;60020200;8000;332020;0;11051016;-1;0;0;1;0;1;-1;-1;-1;-1;
33204;Lordsworn's Straight Sword;60020400;10000;332040;0;11051018;-1;0;0;1;0;1;-1;-1;-1;-1;
33205;Weathered Straight Sword;60020500;4000;332050;0;11051017;-1;0;0;1;0;1;-1;-1;-1;-1;
33206;Ornamental Straight Sword;60020600;12000;332060;0;11051019;-1;0;0;1;0;1;-1;-1;-1;-1;
